,Sampling_Type,Set_Type,Precision_0,Precision_1,Recall_0,Recall_1,F_score_0,F_score_1,Accuracy,roc_auc
None_Train,None,Train,0.8621246367452373,0.5481111903064861,0.8081113801452785,0.6429765886287625,0.834244649273551,0.5917660638707194,0.7642222222222222,0.8119700859199754
None_Test,None,Test,0.8702490170380078,0.5524861878453039,0.8038740920096852,0.6688963210702341,0.8357457520453114,0.6051437216338881,0.768,0.8247264894280371
None_Val,None,Val,0.8584615384615385,0.5462962962962963,0.8102613746369797,0.6310160427807486,0.8336653386454183,0.5856079404466502,0.7626154939587776,0.823247278318174
RUS_Train,RUS,Train,0.7647569444444444,0.7459677419354839,0.7366220735785953,0.7734113712374582,0.7504258943781942,0.7594417077175699,0.7550167224080268,0.8256979088600798
RUS_Test,RUS,Test,0.8982785602503912,0.48148148148148145,0.6949152542372882,0.782608695652174,0.7836177474402731,0.5961783439490446,0.7182222222222222,0.8251759294500636
RUS_Val,RUS,Val,0.8990267639902676,0.49743589743589745,0.7153920619554696,0.7780748663101604,0.7967654986522911,0.6068821689259645,0.7320540156361052,0.8242360395711571
NearMiss_Train,NearMiss,Train,0.641851106639839,0.6008583690987125,0.5334448160535117,0.7023411371237458,0.5826484018264839,0.6476484194294525,0.6178929765886287,0.6594864710685562
NearMiss_Test,NearMiss,Test,0.8725038402457758,0.45569620253164556,0.6876513317191283,0.7224080267558528,0.7691266079891672,0.5588615782664942,0.6968888888888889,0.7707349761513358
NearMiss_Val,NearMiss,Val,0.8678090575275398,0.45084745762711864,0.686350435624395,0.7112299465240641,0.7664864864864865,0.5518672199170124,0.6929637526652452,0.7566560197959322
ROS_Train,ROS,Train,0.7525252525252525,0.7325581395348837,0.7215496368038741,0.7627118644067796,0.7367119901112484,0.7473309608540926,0.7421307506053268,0.8122111231378504
ROS_Test,ROS,Test,0.8943338437978561,0.4872881355932203,0.7070217917675545,0.7692307692307693,0.7897227856659905,0.5966277561608301,0.7235555555555555,0.8244430587835156
ROS_Val,ROS,Val,0.89618138424821,0.5043936731107206,0.7270087124878993,0.767379679144385,0.8027792624265099,0.6086956521739131,0.7377398720682303,0.8221058026308296
SMOTE_Train,SMOTE,Train,0.7915609137055838,0.7659143518518519,0.7551452784503632,0.8011501210653753,0.7729244114002477,0.7831360946745562,0.7781476997578692,0.8510497859370694
SMOTE_Test,SMOTE,Test,0.8953488372093024,0.5194508009153318,0.7457627118644068,0.7591973244147158,0.8137384412153237,0.6168478260869564,0.7493333333333333,0.8255403402787338
SMOTE_Val,SMOTE,Val,0.8861047835990888,0.5179584120982986,0.7531461761858664,0.732620320855615,0.8142333856619572,0.6068660022148394,0.7476901208244492,0.830603454969949
BL-SMOTE_Train,BL-SMOTE,Train,0.7812801543904793,0.7499285510145756,0.7351694915254238,0.7941888619854721,0.757523779822236,0.7714243716007644,0.7646791767554479,0.8338889796797776
BL-SMOTE_Test,BL-SMOTE,Test,0.8968133535660091,0.4957081545064378,0.715496368038741,0.7725752508361204,0.795959595959596,0.603921568627451,0.7306666666666667,0.8252123705329306
BL-SMOTE_Val,BL-SMOTE,Val,0.8916372202591284,0.5053763440860215,0.7328170377541142,0.7540106951871658,0.8044633368756642,0.6051502145922747,0.738450604122246,0.8297208173069457
ADASYN_Train,ADASYN,Train,0.7733503347146956,0.7463893703061814,0.7342615012106537,0.7842185128983308,0.7532991771464059,0.7648364658872282,0.7592059402939839,0.8296766323617485
ADASYN_Test,ADASYN,Test,0.8972809667673716,0.49892008639308855,0.7191283292978208,0.7725752508361204,0.7983870967741935,0.6062992125984252,0.7333333333333333,0.824455205811138
ADASYN_Val,ADASYN,Val,0.8931116389548693,0.5026548672566372,0.7279767666989352,0.7593582887700535,0.8021333333333334,0.6048988285410011,0.736318407960199,0.8288537099254029
